"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"17","21","F. Jaberifard","A self-healing crosslinked-xanthan gum/soy protein based film containing halloysite nanotube and propolis with antibacterial and antioxidant activity for wound healing","2024","International Journal of Pharmaceutics","","10.1016/j.ijpharm.2024.124073","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189771718&origin=inward","Ya","10.50","0378-5173","656",""
"18","20","J. Song","Development of a bioactive chitosan HPMC-based membrane with tea polyphenols encapsulated in β-cyclodextrin as an effective enhancement","2021","Materials Today Communications","","10.1016/j.mtcomm.2021.102324","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105117967&origin=inward","Ya","4.00","2352-4928","27",""
"19","20","H.K. Park","A nature-inspired protective coating on soft/wet biomaterials for SEM by aerobic oxidation of polyphenols","2020","Materials Horizons","","10.1039/c9mh01448a","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087806102&origin=inward","Parsial","3.33","2051-6347","7","5"
"20","18","S. Yousuf","Influence of quince seed mucilage-alginate composite hydrogel coatings on quality of fresh walnut kernels during refrigerated storage","2022","Journal of Food Science and Technology","","10.1007/s13197-022-05566-2","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85136162457&origin=inward","Parsial","4.50","0022-1155","59","12"
"21","18","S. Beigoli","Green synthesis of amorphous calcium phosphate nanopowders using Aloe Vera plant extract and assessment of their cytotoxicity and antimicrobial activities","2021","Journal of Sol Gel Science and Technology","","10.1007/s10971-021-05515-z","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103587114&origin=inward","Ya","3.60","0928-0707","98","3"
"22","17","S. Shaygannia","Phenolic compounds and antioxidant activities of lemon wastes affected by microencapsulation using coatings of Arabic, Persian, and basil seed gums","2021","Journal of Food Measurement and Characterization","","10.1007/s11694-020-00732-6","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85095983004&origin=inward","Parsial","3.40","2193-4126","15","2"
"23","16","B. Cui","Bio-Inspired Self-Renewing Implant Surfaces With Sequential Biofunctional Adaptation for Infectious Diabetic Tissue Repair","2025","Advanced Functional Materials","","10.1002/adfm.202418092","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001082770&origin=inward","Parsial","16.00","1616-301X","35","13"
"24","15","S. Cometta","Unravelling the physicochemical and antimicrobial mechanisms of human serum albumin/tannic acid coatings for medical-grade polycaprolactone scaffolds","2024","Bioactive Materials","","10.1016/j.bioactmat.2024.08.023","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85202173212&origin=inward","Parsial","7.50","2452-199X","42",""
"25","14","M. Ma","Edible Coating for Fresh-Cut Fruit and Vegetable Preservation: Biomaterials, Functional Ingredients, and Joint Non-Thermal Technology","2024","Foods","","10.3390/foods13233937","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211908996&origin=inward","Parsial","7.00","2304-8158","13","23"
"26","12","H. Zhang","A cross-linked coating loaded with antimicrobial peptides for corrosion control, early antibacterial, and sequential osteogenic promotion on a magnesium alloy as orthopedic implants","2025","Acta Biomaterialia","","10.1016/j.actbio.2024.12.046","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212953670&origin=inward","Ya","12.00","1742-7061","193",""
"27","12","Y. Liu","Mussel-Inspired Organic-Inorganic Implant Coating Based on a Layer-by-Layer Method for Anti-infection and Osteogenesis","2022","Industrial and Engineering Chemistry Research","","10.1021/acs.iecr.2c01646","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85137412535&origin=inward","Ya","3.00","0888-5885","61","35"
"28","11","Y. AlNatheer","Calcium hydroxide nanoparticles synthesized with medicinal plants extract as surface coating for titanium alloy bone implants using a simple method: Characterization and biomechanical evaluation","2024","Biocatalysis and Agricultural Biotechnology","","10.1016/j.bcab.2024.103165","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189874208&origin=inward","Ya","5.50","1878-8181","58",""
"29","9","X.T. Wang","Super Stable Coating Based on Ovalbumin and Tannic Acid for Hydrophilic and Antibacterial Functionalization of Polymer Materials","2025","ACS Applied Materials and Interfaces","","10.1021/acsami.4c21624","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=86000748243&origin=inward","Parsial","9.00","1944-8244","17","10"
"30","8","E. Chen","Polyphenols-based intelligent oral barrier membranes for periodontal bone defect reconstruction","2024","Regenerative Biomaterials","","10.1093/rb/rbae058","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195686042&origin=inward","Parsial","4.00","2056-3418","11",""
"31","7","M. Han","Engineered sonosensitive probiotics extracellular vesicles coating for ultrasound-driven anti-infection and immunoregulation in implant infection treatment","2025","Chemical Engineering Journal","","10.1016/j.cej.2024.158946","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213266472&origin=inward","Ya","7.00","1385-8947","504",""
"32","6","S. Dey","Development of Quercetin-loaded polyvinyl-alcohol/gelatin nanofibrous coating over Ti–6Al–4V bone implant with improved antibacterial and bioactive characteristics","2024","Journal of Materials Science","","10.1007/s10853-024-09899-5","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196666707&origin=inward","Ya","3.00","0022-2461","59","26"
"33","6","M. Kalaiyarasan","Biosynthesis of Vitex-negundo mineralized hydroxyapatite coating on Ti for implant applications","2023","Materials Letters","","10.1016/j.matlet.2023.135061","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85168085672&origin=inward","Ya","2.00","0167-577X","351",""
"34","5","C. Xu","Bone Implants with Promoted Antibacterial and Osteointegration Performances via a One-Step Surface-Bioactivation Strategy Based on Polyphenol-Amine Chemistry","2025","Advanced Functional Materials","","10.1002/adfm.202423639","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217003303&origin=inward","Ya","5.00","1616-301X","35","26"
"35","5","A. Li","Deep learning assisted prediction of osteogenic capability of orthopedic implant surfaces based on early cell morphology","2025","Acta Biomaterialia","","10.1016/j.actbio.2025.01.059","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216725874&origin=inward","Parsial","5.00","1742-7061","195",""
"36","5","S. Qamer","Deploying a Novel Approach to Prepare Silver Nanoparticle Bellamya bengalensis Extract Conjugate Coating on Orthopedic Implant Biomaterial Discs to Prevent Potential Biofilm Formation","2023","Antibiotics","","10.3390/antibiotics12091403","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85172234691&origin=inward","Ya","1.67","2079-6382","12","9"
"37","5","M. Mathina","A preliminary study on the synthesis of biogenic derived hydroxyapatite/medicinal plant extracts composite for potential bone tissue engineering applications","2021","Materials Today Proceedings","","10.1016/j.matpr.2021.11.488","Conference Paper","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126676588&origin=inward","Parsial","1.00","2214-7853","51",""
"38","4","C. Li","Natural lignocellulose fibers-based bio-dressing for accelerated wound healing and machine learning-assisted smart multimodal sensing","2026","Biomaterials","","10.1016/j.biomaterials.2025.123603","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105012618309&origin=inward","Parsial","4.00","0142-9612","325",""
"39","3","Y. Wang","Engineering Antibacterial, Biocompatible, Anti-Oxidant Titanium-Based Implants Using Polyphenols-Chlorhexidine Networks for Bone Regeneration","2025","Advanced Healthcare Materials","","10.1002/adhm.202404958","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003816147&origin=inward","Ya","3.00","2192-2640","14","14"
"40","3","S. Zhang","Enhancing mechanical and anti-corrosion properties of waterborne epoxy coatings with (+)-catechin and tea polyphenol copolymerized nanosheets","2025","Corrosion Science","","10.1016/j.corsci.2025.113155","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009694032&origin=inward","Parsial","3.00","0010-938X","255",""
"41","3","Y. Wang","Research Progress on the Application of Natural Medicines in Biomaterial Coatings","2024","Materials","","10.3390/ma17225607","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210309007&origin=inward","Ya","1.50","1996-1944","17","22"
"42","2","M. Jakubowski","Innovative coating strategies for titanium implants: Combining epigallocatechin gallate, zinc ions, and ciprofloxacin to combat infection and promote osseointegration","2025","Applied Surface Science","","10.1016/j.apsusc.2025.163243","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002312660&origin=inward","Ya","2.00","0169-4332","700",""
"43","2","S. Mariño-Cortegoso","The State of the Art and Innovations in Active and Edible Coatings and Films for Functional Food Applications","2025","Polymers","","10.3390/polym17182472","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105016999987&origin=inward","Parsial","2.00","2073-4360","17","18"
"44","2","Y. Wang","Enhanced antibacterial activity of plant polyphenol-modified robust polycaprolactone/gelatin electrospun coating on titanium implant","2025","Dental Materials","","10.1016/j.dental.2025.07.020","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105012379103&origin=inward","Ya","2.00","0109-5641","41","11"
"45","2","L. Yang","Current research progress on cell membrane decorated macroscopic biomaterials","2024","Medicine in Novel Technology and Devices","","10.1016/j.medntd.2024.100290","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186091004&origin=inward","Parsial","1.00","2590-0935","21",""
"46","2","Z. Liu","Enhanced bacteriostasis and osseointegrative properties of SiRNA-modified polyetheretherketone surface for implant applications","2024","Plos One","","10.1371/journal.pone.0314091","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211022218&origin=inward","Parsial","1.00","1932-6203","19","12"
"47","1","X. Lin","Osteogenic and Antibacterial Metal-Polyphenol Drug-Loaded Coating on Biodegradable Zinc for Orthopedic Implants Application","2024","Jinshu Xuebao Acta Metallurgica Sinica","","10.11900/0412.1961.2023.00035","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209917437&origin=inward","Ya","0.50","0412-1961","60","11"
"48","1","S. Wang","Hydrothermal synthesis of metal-polyphenol coatings on titanium implant for enhancing antioxidant and antibacterial properties","2024","Materials Letters","","10.1016/j.matlet.2024.137227","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85202046601&origin=inward","Ya","0.50","0167-577X","375",""
"49","0","Y. Zhang","Oxygen-supplying self-disinfecting titanium osteoimplants via polyphenol-mediated in-situ growth of CaO2 in TiO2 nanotubes","2026","Materials Letters","","10.1016/j.matlet.2025.139888","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023199944&origin=inward","Parsial","0.00","0167-577X","406",""
"50","0","Y. Wang","Versatile bioactive polyphenolic coatings for bone tissue regeneration: from assembly strategies to biointerface interactions","2026","Journal of Materials Chemistry B","","10.1039/d5tb02024g","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023580184&origin=inward","Parsial","0.00","2050-750X","14","1"
"51","0","Zhi-Yan Zhou, Zhi-Bang Li, Ni-Shan Shi, Su-Su Feng, Ya-Ru Han, Mei-Tong Liu, Hao Chen, Jian-Hua Li, Shao-Hua Ge, Yang Yu","Metal-polyphenol network-engineered mesenchymal stem cell-derived exosome mimetics mediate inflammatory/immune regulation for enhanced periodontal tissue regeneration","2026","Biomaterials","","10.1016/j.biomaterials.2025.123696","Journal Article","Exosomes represent a promising therapeutic strategy in regenerative medicine; however, challenges such as unscalable production and poor tolerance to pathological host microenvironments impede their clinical translation. To address these limitations, this study developed bone marrow mesenchymal stem cell (BMSC)-derived exosome mimetics (EMs), produced through an optimized extrusion methodology, which enhanced production yield while preserving the core morphology and structure of natural exosomes with augmented functionality in key biological processes. Furthermore, these EMs are coated with a tannic acid (TA)/Fe3+ coordination network that acts as a protective barrier with antioxidative and antibacterial properties. This coating enables EMs to promote stem cell proliferation, migration, osteogenesis, and immunomodulation under inflammatory and oxidative stress conditions. In vivo, the local injection of EM@[TA-Fe3+] effectively suppressed periodontal inflammation and promoted alveolar bone regeneration. These findings advance our understanding of the structural and functional characteristics of EMs and present an efficient strategy for their delivery in bone regeneration especially under inflammatory and/or infectious conditions.","","Ya","0.00","1878-5905","327",""
"52","0","Manqing Liu, Junmei Song, Deqian Tang, Tianyou Wang, Junbin Wei, Junda Li, Jiayun Xu, Yuming Xu, Qianmin Ou, Chunyu Zhang, Zhipeng Gu, Jinming Wang","Responsive Polyphenolic Coating Reduces the Risk of Peri-Implantitis Through Antibacterial Activity, Immunomodulation, and Enhanced Osseointegration","2026","Advanced healthcare materials","","10.1002/adhm.202504797","Journal Article","Implant failure is primarily caused by infection and dysregulated immune responses, highlighting the need to develop implants with tissue-friendly properties. This study introduces a novel one-step strategy for applying a polyphenol-aminoglycoside (PA) coating on various implant substrates, including titanium, in a simple and efficient manner. The multifunctional PA coating can reduce implant failure through its strong antibacterial, immunomodulatory, and osteoinductive activities. By eliminating bacterial infection, promoting the M2 macrophage phenotype, and restoring oxidative balance, PA-coated implants create a favorable osteoimmune microenvironment that supports the osteogenic differentiation of bone marrow mesenchymal stem cells. Furthermore, the PA-coated implants exhibit potent osseointegration in vivo. Collectively, these findings indicate that surface modification with a PA coating represents a promising strategy to meet the clinical requirements of next-generation dental and orthopedic implants in complex clinical environments.","","Ya","0.00","2192-2659","",""
"53","0","Ruofei Lu, Bingyang Zhao, Kaiyuan Huo, Hao Liu, Yang Wang, Xingjie Zan, Siwang Hu","Facile universal strategy of presenting multifunctional short peptides for customizing desired surfaces","2025","Journal of nanobiotechnology","","10.1186/s12951-024-03041-y","Journal Article","Interfacial properties determine biomaterial performances, such as cell adhesion, signal exchange, and biomineralization, which affect the tissue repair cycle and efficiency of clinical applications. Peptides, as short protein sequences that have defined functionalities, are highly stable and easy to synthesize and have enormous potential to reshape interfacial properties. However, the lack of a universal strategy for presenting peptides on various substrates substantially hinders the application of peptides. In this study, we report a facile and universal strategy for customizing desired interfacial functionalities by a well-known layer-by-layer (LbL) technique through the assembly polyphenols with positively charged short peptide-coupling functional sequences. Polyphenol-peptide interactions were elucidated in detail by assembling polyphenols and peptides possessing different characteristics (charged, uncharged, hydrophobic, and sequence length) in combination with molecular dynamics simulations, and isothermal titration calorimetry further revealed the favorable enthalpy change due to electrostatic interactions is the main driving force for assembling peptides with polyphenols. LbL coatings assembled from polyphenols and positively charged peptides exhibited good substrate generalization, stability, cell proliferation, and antioxidant properties, when prepared as hollow capsules by sacrificing the template, exhibited significant pH and ultrasound stimulation responses, which could be suitable candidates for drug carriers. Most importantly, the LbL assembly strategy of positively charged peptides could be utilized to present various functional molecules (such as arginyl-glycyl-aspartic acid (RGD), a cell adhesion motif; CM15, an antibacterial peptide; and PEG, an antifouling surface) on various substrates for customizing desired surfaces. This study not only provides new insights into the understanding and regulation of interactions between proteins/peptides and polyphenols but also paves the way toward the interfacial functionalization of biomaterials.","","Parsial","0.00","1477-3155","23","1"
"54","0","Chenglong Wang, Zeyu Shou, Chengwei Xu, Kaiyuan Huo, Wenjie Liu, Hao Liu, Xingjie Zan, Qing Wang, Lianxin Li","Enhancing the Implant Osteointegration via Supramolecular Co-Assembly Coating with Early Immunomodulation and Cell Colonization","2025","Advanced science (Weinheim, Baden-Wurttemberg, Germany)","","10.1002/advs.202410595","Journal Article","Osteointegration, the effective coupling between an implant and bone tissue, is a highly intricate biological process. The initial stages of bone-related immunomodulation and cellular colonization play crucial roles, but have received limited attention. Herein, a novel supramolecular co-assembled coating of strontium (Sr)-doped metal polyphenol networks (MPN) modified with c(RGDfc) is developed and well-characterized, for eliciting an early immunomodulation and cellular colonization. The results showed that the (Sr-MPN)@RGD coating significantly regulated the polarization of macrophages to the M2 phenotype by controllable release of Sr, and promote the initial adhesion of bone marrow mesenchymal stem cells (BMSCs) by RGD presented on MPN. Notably, the (Sr-MPN)@RGD attenuated osteoclast differentiation and oxidative stress as well as enhanced osteoblast differentiation and angiogenesis due to macrophage polarization toward M2 phenotype, which in turn has a profound effect on neighboring cells through paracrine signaling. In vivo results showed that the (Sr-MPN)@RGD coating manifested superior osseointegration and bone maturation to the bare Ti-rod or Ti-rod coated with MPN and Sr-MPN. This work contributed to the design of multifunctional implant coatings that address the complex biological process of osteointegration from the perspective of orchestrating stem cell recruitment with immunomodulatory strategies.","","Ya","0.00","2198-3844","12","9"
"55","0","Shikang Zheng, Xiumei Sun, Kai Chen, Mingjun Zhang, Chentong Zou, Lin Wang, Zhipeng Guo, Zhaoyi Jin, Ziyi Ma, Guanyu Li, Guomin Wu","Metal-Phenolic Modified Coaxial Electrospun Biomembrane Combined with the Photothermal Effect Enhances Bone Regeneration by Ameliorating Oxidative Stress and Mitochondrial Dysfunction via the PI3K/Akt Signaling Pathway","2025","ACS applied materials & interfaces","","10.1021/acsami.4c21265","Journal Article","Critical-sized bone defect regeneration remains a significant clinical challenge due to the complex cascade of biological processes involved. To address this, we developed a sophisticated hierarchical biomembrane (PCS@MPN10) designed to modulate the osteogenic microenvironment. Using coaxial electrospinning, we fabricated a core-shell structure with polylactic acid (PLA) as the membrane base, incorporating simvastatin in the core and chitosan in the shell. The membrane surface was further modified with a tannic acid-iron metal-polyphenol network coating. Our results demonstrated that the biomembrane exhibits excellent biocompatibility, photothermal properties, and significant antibacterial activity. Additionally, the membrane regulates the microenvironment by promoting M1-to-M2 macrophage polarization, showing strong osteogenic potential both in vitro and in vivo. Furthermore, PCS@MPN10+NIR modulates mitochondrial function through the PI3K-AKT pathway, clears mitochondrial reactive oxygen species (ROS), and alleviates cellular oxidative stress, thereby enhancing bone regeneration. Overall, these findings suggest that this biomembrane holds great promise as a strategy for improving bone regeneration in critical-sized defects.","","Parsial","0.00","1944-8252","17","10"
"56","0","Kaiyuan Huo, Wenjie Liu, Zeyu Shou, Hongxiang Wang, Hao Liu, Yang Chen, Xingjie Zan, Qing Wang, Na Li","Modulating the Interactions of Peptide-Polyphenol for Supramolecular Assembly Coatings with Controllable Kinetics and Multifunctionalities","2025","Advanced science (Weinheim, Baden-Wurttemberg, Germany)","","10.1002/advs.202412194","Journal Article","Polyphenols and peptides represent two fundamental building blocks in the kingdom of supramolecular assembly (SA) coatings, which have recently attracted considerable interest. Regulating the assembly kinetics of SA coatings is critical to controlling the performance of SA coatings, but this area is still in its infancy, especially in the SA coating of peptide-polyphenol. Herein, a library of oligopeptides with rich diversity, numerous polyphenols, and modulators are explored to reveal their roles in the formation and regulation of SA coating. Citric acid (CA) is an effective regulator of interaction between the polyphenols and peptides to produce peptide-polyphenol coatings, TCP. The electrostatic interaction between tannic acid (TA) and cationic peptide drives the formation of TCP, while the multiple hydrogen bonds between CA and TA and peptide dominate the assembly kinetics. With optimized assembly pH and the mass ratio of TA, CA, and peptide, the thickness of TCP coating deposits onto diverse substrates (glass, silica, titanium, polystyrene) is ≈400 nm with controllable kinetics. The multifunctional TCP coatings are endowed via peptide-coupled functional units, including enhanced cellular adhesion, elevated osteogenic capacity, anti-protein adsorption, and antimicrobial. This work contributes to the understanding of the assembly kinetics and functionalization of peptide-polyphenol coatings.","","Parsial","0.00","2198-3844","12","3"
"57","0","Xiang Han, WanMing Lin","Construction and antibacterial performance study of strontium-doped TiO2coatings with photothermal-chemical synergistic antimicrobial properties","2025","Biomedical materials (Bristol, England)","","10.1088/1748-605X/ae1777","Journal Article","The inert surface of titanium (Ti) leads to inadequate osseointegration and bacterial infection, which are critical factors contributing to the failure of Ti implants. Micro-arc oxidation (MAO) technology enables the formation of a biocompatible porous TiO2coating on Ti surfaces, offering advantages such as a simple fabrication process, strong adhesion to the substrate, and the ability to incorporate functional ions (e.g. Ag+, Cu2+, Sr2+). This modification significantly enhances cellular adhesion and osteogenic activity. However, the TiO2produced via MAO exhibits a wide bandgap (3.2 eV), responding primarily to ultraviolet light, which results in low photothermal conversion efficiency in the near-infrared (NIR) region with greater tissue penetration, thereby limiting its application in photothermal therapy (PTT). This study was based on Sr2+-doped TiO2coating, and its NIR photothermal efficiency was improved through surface modification with a metal-polyphenol network (MPN). Additionally,ϵ-poly-L-lysine (EPL) antimicrobial peptides were grafted onto the surface to establish a synergistic photothermal-chemical antibacterial system. Experimental results demonstrated that the TiO2-MPN-EPL composite coating exhibited high-efficiency photothermal conversion under 808 nm laser irradiation, with the synergistic action of EPL providing targeted membrane disruption of bacteria. This system achieved a high bactericidal rate againstStaphylococcus aureusandEscherichia coliwhile mitigating the thermal damage risks associated with standalone PTT. Furthermore, it promoted the proliferation of MC3T3-E1 osteoblasts.","","Parsial","0.00","1748-605X","20","6"
"58","0","K. Xie","PEEK with Glucose Responsive Coating for Diabetic Bone Defects Antibiotic Therapy","2025","Cailiao Daobao Materials Reports","","10.11896/cldb.24030239","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105008509189&origin=inward","Parsial","0.00","1005-023X","39","12"
"59","0","A. Çetinbaş-Genç","Pollenkitt From Narcissus tazetta: Evaluation of Its UV-Protective Potential as a Plant-Based Biomaterial Source","2025","Chemistry and Biodiversity","","10.1002/cbdv.202502122","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105018006176&origin=inward","Parsial","0.00","1612-1872","22","12"
