"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"19","5","T.D. Kusworo","Fabrication and characterization of nano hybrid cellulose acetate-nanoTiO2/crosslinked polyvinyl alcohol coated membrane for crude clove oil purification","2020","Periodica Polytechnica Chemical Engineering","","10.3311/PPch.13871","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085701372&origin=inward","Ya","0.83","0324-5853","64","3"
"20","4","S. Shi","The role of temperature in mechanical degradation of catalyst coated membrane in fuel cell: A 4D in-situ investigation based on X-ray computed tomography","2025","Applied Energy","","10.1016/j.apenergy.2025.126098","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105004805598&origin=inward","Ya","4.00","0306-2619","393",""
"21","4","M.E.A. Ali","Preparation and characterization of carbon black coated membranes for the treatment of saline water by membrane distillation","2023","Journal of Coatings Technology and Research","","10.1007/s11998-023-00759-6","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85152778170&origin=inward","Ya","1.33","1547-0091","20","4"
"22","4","D. Chhaya","Evaluation and comparison of mechanical properties of platelet-rich fibrin membrane, fish collagen membrane, bovine collagen membrane and chorionic membrane-An SEM study","2022","Indian Journal of Dental Research","","10.4103/ijdr.ijdr_556_22","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151387404&origin=inward","Ya","1.00","0970-9290","33","4"
"23","4","I.d.S. Brum","Ultrastructural and physicochemical characterization of a non‐crosslinked type 1 bovine derived collagen membrane","2021","Polymers","","10.3390/polym13234135","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119969119&origin=inward","Ya","0.80","2073-4360","13","23"
"24","0","B Saravana Kumar, Ushma H Prajapati, Neelam Das, K Vel Latha, Vishal S Shah, Arshiya F Mohammadi","In Vitro Analysis of Healing Properties of Platelet-Rich Fibrin (PRF) vs. Collagen Membranes in Guided Tissue Regeneration","2025","Journal of pharmacy & bioallied sciences","","10.4103/jpbs.jpbs_491_25","Journal Article","The present study sought to assess, using growth factor release and tissue integration, the in vitro healing characteristics of collagen membranes and platelet-rich fibrin (PRF) in guided tissue regeneration (GTR). The control was commercially available collagen membranes; PRF membranes were produced using a normal centrifugation technique. Scanning electron microscopy (SEM) was used to examine structural features. Key growth factors-including transforming growth factor-beta 1 (TGF-β1), platelet-derived growth factor (PDGF-BB), and vascular endothelial growth factor (VEGF)-were assessed using enzyme-linked immunosorbent assays (ELISA). Using scratch tests, we assessed wound healing capacity and fibroblast migration. The student's t-test was used for statistical analysis; P < 0.001 was considered to be significant. While collagen membranes showed a consistent porosity shape, PRF showed a rich fibrin network, including embedded platelets and leukocytes. At 14 days, PRF showed much more cell growth (P < 0.001). Growth factor analysis showed that PRF generated more TGF-β1, PDGF-BB, and VEGF with consistent release (P < 0.001). PRF shows greater healing properties than collagen membranes with enhanced cellular proliferation, movement, and release of growth factors. These results suggest that PRF might be a more effective biomaterial for use in guided tissue regeneration.","","Parsial","0.00","0976-4879","17",""
"25","0","Qi Zhang, Yewen Zhong, Xinlin He, Sui Mai","A Collagen Membrane Pretreated with Citrate Promotes Collagen Mineralization and Bone Regeneration","2025","Journal of functional biomaterials","","10.3390/jfb16070261","Journal Article","Purpose: Collagen membranes with biomimetic mineralization are emerging as promising materials for bone regeneration, owing to their high biocompatibility. In this study, we developed a biogenic collagen membrane by combining citrate (C) pretreatment and carboxymethyl chitosan (CMC)-mediated mineralization and further evaluated its bone healing potential. Methods: C-CMC collagen membranes were prepared by lyophilization. The mineral composition and content were tested through X-ray diffraction (XRD), Fourier transform infrared (FTIR), and thermogravimetric analysis (TGA). The micromorphology was observed using transmission electron microscopy (TEM), scanning electron microscopy (SEM), and scanning probe microscopy (SPM). Physical and mechanical properties, including the swelling rate, porosity, hydrophilicity, tensile strength, Young's modulus, degradation, and barrier function, were also evaluated. Bone mesenchymal stem cells (BMSCs) were cultured in vitro to observe their behavior. An in vivo critical-size rat calvarial defect model was used to validate the effects of the membrane on bone regeneration. Results: The C-CMC collagen membrane was successfully synthesized as a collagen-hydroxyapatite complex with intrafibrillar mineralization, exhibiting improved mechanical properties and an optimal swelling rate, porosity, hydrophilicity, and degradation rate. Additionally, the C-CMC collagen membrane promoted BMSC proliferation, adhesion, and osteogenesis while preventing epithelial cell infiltration. In vivo experiments indicated that C-CMC collagen membranes significantly stimulated bone regeneration without causing systemic toxicity. Conclusions: Our findings suggest that the C-CMC collagen membrane possesses satisfactory physical and mechanical properties, along with good biocompatibility and efficacy in bone defect regeneration, making it a potential candidate for a bioactive guided bone regeneration membrane in clinical applications.","","Parsial","0.00","2079-4983","16","7"
"26","0","Lorena Gallego, Kimberly Harvey, Marta Pevida, Luis García-Consuegra, Olivia García-Suárez, Álvaro Meana, María Alvarez-Viejo, Luis Junquera","From Waste to Innovation: A Circular Economy Approach for Tissue Engineering by Transforming Human Bone Waste into Novel Collagen Membranes","2025","Biomolecules","","10.3390/biom15010132","Journal Article","The aim of the circular economy is to treat waste as a valuable raw material, reintegrating it into the industrial economy and extending the lifecycle of subsequent products. Efforts to reduce the production of hard-to-recycle waste are becoming increasingly important to manufacturers, not only of consumer goods but also of specialized items that are difficult to manufacture, such as medical supplies, which have now become a priority for the European Union. The purpose of the study is to manufacture a novel human-purified type I collagen membrane from bone remnants typically discarded during the processing of cortico-cancellous bones in tissue banks and to evaluate its mechanical properties and effectiveness in regenerating bone-critical mandibular defects in rabbits. To prepare the novel membrane, cortico-cancellous bone chip samples from a local tissue bank were processed to isolate collagen by demineralization under agitation in HCl, cast into a silicone mold, and air-dried at room temperature and UV irradiation. The average thickness of the four batches analyzed by SEM was 37.3 μm. The average value of Young's modulus and tensile strength obtained from the specimens was 2.56 GPa and 65.43 Mpa, respectively. The membrane's efficacy was tested by creating a critical bicortical and bilateral osteoperiosteal defect in rabbit mandibles. The right-side defects were covered with the collagen membrane, while the left-side defects were left untreated as a control. Nine weeks post-surgery, clinical, radiological, and histological analyses demonstrated new bone formation in the treated areas, whereas the control sites showed no bone regeneration. This innovative approach not only contributes to sustainability in healthcare by optimizing biological waste but also exemplifies efficient resource use in line with the circular economy, offering a cost-effective, biocompatible option that could benefit national health systems.","","Parsial","0.00","2218-273X","15","1"
"27","0","Kester Ng, Nader Allam, Mehrnoosh Neshatian, Mina Vaez, Liisa M Hirvonen, Ernest Lam, Alex Vitkin, Laurent Bozec","Effects of Ionizing Radiation on the Biophysical Properties of Type I Collagen Fibrils","2025","PloS one","","10.1371/journal.pone.0319777","Journal Article","Ionizing radiation is extensively employed in both diagnostic and therapeutic medical practices. The impact of this radiation on collagen, a primary structural protein in humans, remains underexplored, particularly at varying doses and hydration states. This study explores the impact of ionizing radiation on type I collagen fibrils at three radiation doses (diagnostic, therapeutic, and sterilization) and under two hydration conditions using an engineered acellular collagen membrane to reflect varying biological conditions. Techniques including atomic force microscopy (AFM), fluorescence lifetime imaging microscopy (FLIM), and Attenuated total reflectance-Fourier transform infrared spectroscopy (ATR-FTIR) were utilized to assess changes in mechanical properties, biochemical stability, and molecular structure respectively. Our results demonstrate that ionizing radiation alters the mechanical properties of collagen fibrils, notably indentation modulus, which reflects changes in stiffness or elasticity. These modifications depended on the hydration state at the time of radiation exposure; hydrated fibrils typically exhibited increased stiffness, suggesting enhanced cross-linking, whereas dehydrated fibrils showed reduced stiffness, indicative of structural weakening, possibly due to bond breakdown. Morphological changes were minimal, suggesting that radiation primarily affects the internal structure rather than the overall appearance of the fibrils. Biochemically, variations in fluorescence lifetimes highlighted changes in the collagen's biochemical environment, dependent on the dose and hydration state. Despite these biochemical and mechanical changes, FTIR analysis indicated that the primary structure of collagen was largely preserved post-irradiation for all examined dose levels. These findings imply that radiation can modify the mechanical properties of collagen, potentially affecting tissue integrity in clinical settings. This could influence the management of radiation-induced conditions like osteoradionecrosis, fibrosis and cancer metastasis. Overall, our study underscores the need for further research into the effects of radiation on structural proteins to better understand and mitigate radiation-induced tissue damage.","","Parsial","0.00","1932-6203","20","4"
"28","0","Habin Park, Shane Harris, Paul A Kohl","Anion Exchange Membrane Water Electrolysis Using a Catalyst-Coated Membrane Cathode","2025","ACS electrochemistry","","10.1021/acselectrochem.5c00280","Journal Article","A catalyst-coated membrane (CCM) approach to electrode fabrication for high pH water electrolysis offers enhanced interfacial contact between the catalyst layer and the membrane surface in comparison to the catalyst-coated substrate (CCS) electrode configuration. The CCM facilitates enhanced ionic and water transport between the cathode and the anion exchange membrane (AEM). This advantage is particularly significant with AEM water electrolysis (compared to proton exchange membrane water electrolysis) because the cathode typically operates under dry conditions and relies solely on diffusive water transport across the AEM from the liquid-fed anode. This study presents a direct performance comparison between CCS and CCM cathode configurations using identical hydrogen evolution reaction (HER) catalysts and other components. The use of a pseudo-reference electrode integrated into the membrane electrode assembly enabled detailed analysis of the CCM cathode polarization behavior. Surface characterization provided insight into the degradation mechanisms associated with the CCM configuration. Optimization of the cathode ionomer cross-link density improved both the cathode polarization performance and the electrolysis device durability. Further optimization of the HER catalyst loading in the CCM cathode resulted in additional gains in the electrolysis efficiency. Collectively, these findings offer valuable guidance for the design and fabrication of high-performance, durable AEM electrolysis CCMs.","","Parsial","0.00","2997-0571","1","11"
"29","0","Lamyaa Osama, Shaimaa ElShebiney, Hanan H Beherei, Emad M Elzayat, Mostafa Mabrouk","Modulation of experimental Alzheimer's disease in rats through donepezil-loaded CSF implant","2025","Scientific reports","","10.1038/s41598-025-26181-z","Journal Article","Alzheimer's disease (AD) is a growing challenge worldwide, with current treatments largely symptomatic and limited. The current study aimed to introduce coated nanoporous membranes for localized drug delivery of donepezil, combining both antifouling activity and sustained drug release, unlike traditional Alzheimer's treatments that rely on systemic administration. Nanoporous membranes were prepared by electrochemical anodization, coated with Polymethyl methacrylate (PMMA) or a PMMA/polyurethane (PU) mixture to mitigate biofouling. The fabricated nanoporous membranes before and after coating were characterized using SEM/EDX, FTIR, BET, and contact angle measurements. In vitro drug release and release kinetics were studied in artificial cerebrospinal fluid (ACSF). Coated and donepezil loaded membranes were implanted on the dura surface in Wistar rats AD model via intracerebral streptozotocin (STZ) injection. The activity was evaluated on behavioral, biochemical and histological levels. PMMA enhanced membrane hydrophobicity (contact angle increased from 62.8° to 79°) and sustained drug release over 7 days, making it the preferred coating. The PMMA membrane demonstrated a reduction in beta-amyloid levels without being loaded with donepezil, while the donepezil-loaded membrane showed cognitive function improvement in Morris water maze and Y-maze. Acetylcholinesterase activity was elevated after STZ-induction of AD and got ameliorated by the membranes implantation. Brain-Derived Neurotrophic Factor (BDNF) was lowered by STZ, while increased in treated animals. Histological examination revealed the neuronal regeneration after donepezil-loaded PMMA coated membrane. These findings suggest that coated nanoporous membranes are promising systems for localized active donepezil drug delivery for AD-like symptoms modulation in STZ-induced AD model, warranting further validation in other AD paradigms.","","Parsial","0.00","2045-2322","15","1"
"30","0","Faisal F Alotaibi, Zainab M AlFaltawi, Sharon R Oyhanart, Jonathan C Knowles, Francesco D'Aiuto, David Y S Chau","The eggshell membrane as a barrier membrane for guided bone regeneration","2025","Regenerative medicine","","10.1080/17460751.2025.2542056","Journal Article","The eggshell membrane (ESM) is a natural resource with a distinct design and composition, offering structural features consistent with barrier membranes used in guided bone regeneration (GBR), making it a promising candidate for this application. This study aims to assess the feasibility of chicken and duck ESMs as GBR alternatives by comparing them with resorbable porcine-derived collagen (Porcine CM, Bio-Gide®) and non-resorbable dense polytetrafluoroethylene (d-PTFE, CytoplastTM). ESMs were extracted using a standardized protocol. Membranes were then analyzed using scanning electron microscopy (SEM), Fourier-transform infrared spectroscopy (FTIR), differential scanning calorimetry (DSC), dynamic mechanical analysis (DMA), contact angle measurements (CAM), and cell culture-based assays. FTIR revealed similar collagen spectra among membranes. SEM showed structural similarities between ESMs and Bio-Gide. DSC indicated integrity maintenance at 37°C and varied storage conditions. CAM testing demonstrated collagen-based membranes' higher hydrophilicity compared to d-PTFE. DMA analysis showed duck ESM's superior tensile strength and Young's modulus compared to chicken ESM and porcine CM. Biological evaluation revealed high compatibility with human gingival fibroblasts for all materials. Findings illustrate a novel sustainable biomaterial that could be utilized for GBR and other periodontal therapies, particularly in its capacity to function as a physical barrier consistent with the traditional role of GBR membranes.","","Parsial","0.00","1746-076X","20","7"
"31","0","Radu Ioan Neacsu, Horia Nitu, Anca Sipos, Lucian Barbu-Tudoran, Adrian Nicoara, Amelia Bucur, Alina Ormenisan","Water and solute permeability of membranes used in guided bone regeneration-An in vitro study","2025","Dental materials journal","","10.4012/dmj.2024-371","Journal Article","Nutrients diffusion through barrier membranes used in guided bone regeneration is much theorized but few data are available so far. In this study, direct measurement of the water and solute permeability coefficients of five commercial barrier membranes was performed and the results were correlated with scanning electron microscopy findings. First the hydraulic permeability was addressed in short (3 h) and extended periods (3 weeks) assays, then the membranes were further investigated for diffusion of selected solutes (glucose and NaCl). The collagen membrane had the highest initial water permeability, 10 times greater than the polylactide one, and 500 times greater than the expanded-PTFE one, all of which decreased significantly over the 3-weeks test period, whereas dense-PTFE membranes were both found impermeable, the results being positively correlated with solute permeability coefficients and convergent with the SEM findings.","","Parsial","0.00","1881-1361","44","5"
"32","0","Elton Marks Araujo Braz, Solranny Carla Cavalcante Costa Silva, Michel Muálem Moraes Alves, Fernando Aécio Amorim Carvalho, Rui Magalhães, Josy Anteveli Osajima, Durcilene Alves Silva, Ana Leite Oliveira, Edvani Curti Muniz, Edson Cavalcanti Silva-Filho","Chitosan/collagen biomembrane loaded with 2,3-dihydrobenzofuran for the treatment of cutaneous Leishmaniasis","2024","International journal of biological macromolecules","","10.1016/j.ijbiomac.2024.135995","Journal Article","In this work, chitosan/collagen-based membranes loaded with 2,3-dihydrobenzofuran (2,3-DHB) were developed through a simple solvent-casting procedure for use in the treatment of cutaneous Leishmaniasis. The obtained membranes were characterized by elemental analysis, FTIR, TG, DSC, and XRD. Porosity, swelling, mechanical properties, hydrophilicity, and antioxidant activity were analyzed. In addition, assessment to the biocompatibility, through fibroblasts/keratinocytes and in vitro wound healing essays were performed. The obtained results show that the new 2,3-DHB loaded chitosan/collagen membrane presented high porosity and swelling capacity as well as maximum strength, hydrophilicity, and antioxidant activity higher in relation to the control. The tests of antileishmanial activity and the AFM images demonstrate great efficacy of inhibition growth of the parasite, superior to those from the standard therapeutic agent that is currently used: Amphotericin B. The new membranes are biocompatible and stimulated the proliferation of keratinocytes. SEM images clearly demonstrate that fibroblasts were able to adhere, maintained their characteristic morphology. The healing test evidenced that the membranes have adequate environment for promoting cell proliferation and growth. As the conventional treatments often use drugs with high toxicity, the as-developed new membranes proved to be excellent candidate to treat cutaneous Leishmaniasis and can be clearly indicated for further advanced studies in vivo.","","Parsial","0.00","1879-0003","280",""
"33","0","Saeedeh Abedin, Javad Ranjbari, Azadeh Haeri, Hossein Vahidi, Hamid Reza Moghimi","Design and Characterization of an Osmotic Pump System for Optimal Feeding and pH Control in E. coli Culture to Increase Biomass","2024","Iranian journal of pharmaceutical research : IJPR","","10.5812/ijpr-138677","Journal Article","Batch cultures used for various purposes, such as expression screening and recombinant protein production in laboratories, usually have some drawbacks due to the bolus addition of carbon sources, such as glucose and buffers, that lead to overflow metabolism, decreased pH, high osmolality, low biomass yield, and low protein production. This study aimed to overcome the problems of batch culture using the controlled release concept by a controlled porosity osmotic pump (CPOP) system. The CPOP was formulated with glucose as a carbon source feeding and sodium carbonate as a pH modifier in the core of the tablet that was coated with a semipermeable membrane containing cellulose acetate and polyethylene glycol (PEG) 400. The release rate was regulated with Eudragit L100 as a retardant agent in the core and PEG 400 as a pore-former agent in the coating membrane. Fourier-transform infrared spectroscopy (FT-IR) and scanning electron microscopy (SEM) were used to elucidate compatibility between components and release mechanism, respectively. The in-vitro release of glucose and Na2CO3 studies were performed for 24 hours in a mineral culture medium (M9). Then, the effectiveness of CPOP in the growth of Escherichia coli (E. coliBL21) as a microorganism model was evaluated. Glucose consumption, changes in medium's pH, and acetate concentration as a by-product were also monitored during the bacterial growth. Fourier-transform infrared spectroscopy confirmed the compatibility between the components in the osmotic pump, and SEM elucidated the release mechanism due to in-situ delivery pores created by dissolving soluble components (PEG 400) on the coated membrane upon contact with the dissolution medium. The in-vitro release studies indicated that the osmotic pump was able to deliver glucose and sodium carbonate in a zero-order manner. The use of CPOP in E. coli (BL21) cultivation resulted in a statistically significant improvement in biomass (over 80%), maintaining the pH of the medium (above 6.8) during the exponential phase, and reducing metabolic by-product formation (acetate), compared to bolus feeding (P < 0.05). The use of CPOP, which is capable of controlled release of glucose as a carbon source and sodium carbonate as a pH modifier, can overcome the drawbacks of bolus feeding, such as decreased pH, increased acetate concentration, and low productivity. It has a good potential for commercialization.","","Ya","0.00","1726-6890","23","1"
"34","0","Johnisha Harris, Kaarthikeyan Gurumoorthy","Development and characterization of novel magnesium oxide nanoparticle-impregnated chitosan-based guided tissue regeneration membrane - An in vitro study","2024","Journal of Indian Society of Periodontology","","10.4103/jisp.jisp_554_23","Journal Article","Although a lot of commercially available guided tissue regeneration (GTR) membranes are used, none of them could actually ensure complete bone regeneration so far and they also have certain limitations. This study aims to explore further and develop a membrane that might overcome these limitations and aid in bone regeneration for the treatment of bony defects. Magnesium oxide nanoparticles (MgONPs) were prepared from magnesium nitrate prepared by calcination at different temperatures and dried using filter paper under specific temperature. Later, 0.3 ml of 0.2 M 1% acetic acid was added to water and placed in the stirrer for at least 1 h. Chitosan (CS) (2%) of two different concentrations containing 0.588 g and 0.576 g of CS, respectively, was prepared and added to the previous mixture. To these concentrations, the prepared MgONPs were added and stirred using a magnetic stirrer for 1 h. Later, it was cast in the mold and dried. The prepared membrane was immersed in 1 M sodium hydroxide to neutralize acetic acid. After preparation, they were subjected to scanning electron microscope (SEM) analysis, energy-dispersive X-ray (EDAX), Fourier transform infrared spectroscopy (FTIR), and contact angle test. In SEM analysis, spherical in size, uniformly dense, and porous agglomeration was noticed. EDAX and FTIR revealed the formation of MgONPs (magnesium oxide) in the membrane. The average contact angles of the CS with MgONPs and control membranes were 85.48° and 80.80°, respectively. Degradation analysis showed that test membrane showed a slower degradation rate than control collagen membrane at the end of the 28th day. On comparing membranes with pure CS, membranes with nanoparticles, and control collagen membranes, the membrane incorporated with nanoparticles showed more favorable positive outcomes.","","Ya","0.00","0972-124X","28","5"
"35","0","Mohammad Reza Karimi, Shahrzad Abdollahi, Ardavan Etemadi, Neda Hakimiha","Investigating the Effect of Photobiomodulation Therapy With Different Wavelengths of Diode Lasers on the Proliferation and Adhesion of Human Gingival Fibroblast Cells to a Collagen Membrane: An In Vitro Study","2024","Journal of lasers in medical sciences","","10.34172/jlms.2024.53","Journal Article","Introduction: Photobiomodulation (PBM) is considered a promising adjunctive approach in regenerative medicine. This study aimed to investigate the proliferation and adhesion of human gingival fibroblast (HGF) cells to a collagen membrane following PBM. Methods: Cultured HGF cells on a collagen membrane received PBM at wavelengths of 808 nm, 915 nm (2 and 4 J/cm2), and 660 nm (2.1 and 4.2 J/cm2) in interventional groups, while non-irradiated cells served as the control. On days 1 and 3 post-irradiation, cell proliferation was measured by MTT assay, and adhesion to the membrane was assessed under the scanning electron microscope (SEM). Results: Cell proliferation significantly increased in interventional groups compared to the control, with the most significant increase at 915 nm (4 J/cm2) in both time points. On the first day, the 808 nm and 660 nm lasers demonstrated similar results, significantly lower than the 915 nm laser (2 J/cm2). On day 3, the 660 nm, 808 nm, and 915 nm (2 J/cm2) groups showed comparable results. Qualitative analysis by the SEM identified spindle-shaped cells with multiple extended projections in 915 nm groups, especially at an energy density of 4 J/cm2. Groups of 660 nm and 808 nm (4 J/cm2) showed spindle-shaped cell morphology. No distinct cellular morphology indicative of enhanced adhesion was observed at 808 nm (2 J/cm2). Conclusion: The most effective PBM setup for promoting HGF proliferation and adhesion to a collagen membrane was identified at 915 nm (4 J/cm2).","","Parsial","0.00","2008-9783","15",""
"36","0","Marcello Kfouri Di Pillo, Pedro Giorgetti Montagner, Lucas Novaes Teixeira, Elizabeth Ferreira Martinez","In vivo evaluation of a collagen membrane in bone neoformation: A morphological and histomorphometric study","2023","Journal of stomatology, oral and maxillofacial surgery","","10.1016/j.jormas.2022.101372","Journal Article","Guided bone regeneration (GBR) is a technique that involves the placement of mechanical barriers to protect the blood clot, and create an isolated space to prevent competition from epithelial and connective tissues in bone augmentation treatments. Collagen membranes stand out from other materials available for performing regenerative surgeries, and are widely used because of their ability to promote cell adhesion and homeostasis, and their biocompatibility, ease of handling, and low immunogenicity. In this context, researchers have investigated xenogenic membranes/barriers that cost less and have slower resorption rates. The current study aimed to assess the osteogenic potential induced by a crosslinked, synthesized xenogenic membrane 100 µm thick when applied in vivo to critical defects in rat calvaria. Critical size defects were created in the calvaria of thirty male Wistar rats, and randomly divided into the following two groups: G1 - clot covered with a commercial xenogenic membrane (Lumina-Coat®, Criteria, Brazil), and G2 - clot covered with a synthesized xenogenic membrane. The animals were euthanized after 7, 15 and 30 days, and samples of calvaria were processed to perform morphometric evaluations to measure bone neoformation in the defect region. In addition, ultrastructural characterization of the collagen membranes was performed by scanning electron microscope. The quantitative analyses were carried out by adopting a significance level of 5%. The ultrastructural characterization revealed that the synthesized membrane had thicker collagen fibers and a more cohesive surface, compared with the Lumina-Coat® collagen membrane (G1). There was no significant difference in bone neoformation between the membranes (p>0.05), at any of the time periods analyzed. The bone quantification area increased significantly over time for both membranes (p<0.05). The synthesized membrane exhibited morphological characteristics similar to those of the commercial membrane evaluated, allowed potentially active participation in the bone neoformation process, and served as a low-cost alternative for GBR procedures.","","Parsial","0.00","2468-7855","124","1"
