"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"11","61","O. Phonrachom","Potential use of propolis-loaded quaternized chitosan/pectin hydrogel films as wound dressings: Preparation, characterization, antibacterial evaluation, and in vitro healing assay","2023","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2023.124633","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85154041036&origin=inward","Ya","20.33","0141-8130","241",""
"12","54","L. Yavari Maroufi","Novel electrospun nanofibers based on gelatin/oxidized xanthan gum containing propolis reinforced by Schiff base cross-linking for food packaging","2023","Food Chemistry","","10.1016/j.foodchem.2023.135806","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149786303&origin=inward","Parsial","18.00","0308-8146","416",""
"13","54","K. Aranci","3D Propolis-Sodium Alginate Scaffolds: Influence on Structural Parameters, Release Mechanisms, Cell Cytotoxicity and Antibacterial Activity","2020","Molecules","","10.3390/molecules25215082","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85095674605&origin=inward","Ya","9.00","1420-3049","25","21"
"14","51","Z. Pahlevanneshan","Polyurethane-nanolignin composite foam coated with propolis as a platform for wound dressing: Synthesis and characterization","2021","Polymers","","10.3390/polym13183191","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115384344&origin=inward","Parsial","10.20","2073-4360","13","18"
"15","46","T.D. Tran","Lessons from exploring chemical space and chemical diversity of propolis components","2020","International Journal of Molecular Sciences","","10.3390/ijms21144988","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087977109&origin=inward","Parsial","7.67","1661-6596","21","14"
"16","45","T. Baygar","Characterization of silk sutures coated with propolis and biogenic silver nanoparticles (AgNPs); an eco-friendly solution with wound healing potential against surgical site infections (SSIs)","2020","Turkish Journal of Medical Sciences","","10.3906/sag-1906-48","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079342082&origin=inward","Parsial","7.50","1300-0144","50","1"
"17","44","S. Ulag","Propolis-based nanofiber patches to repair corneal microbial keratitis","2021","Molecules","","10.3390/molecules26092577","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105177764&origin=inward","Parsial","8.80","1420-3049","26","9"
"18","42","M. Shahinozzaman","Chemical composition and pharmacological properties of Macaranga-type Pacific propolis: A review","2021","Phytotherapy Research","","10.1002/ptr.6819","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85089133382&origin=inward","Ya","8.40","0951-418X","35","1"
"19","38","S. Afrasiabi","Propolis nanoparticle enhances the potency of antimicrobial photodynamic therapy against Streptococcus mutans in a synergistic manner","2020","Scientific Reports","","10.1038/s41598-020-72119-y","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091414049&origin=inward","Ya","6.33","2045-2322","10","1"
"20","35","B. Kischkel","Silver nanoparticles stabilized with propolis show reduced toxicity and potential activity against fungal infections","2020","Future Microbiology","","10.2217/fmb-2019-0173","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087111191&origin=inward","Ya","5.83","1746-0913","15","7"
"21","34","M. Davoudabadi","Wound healing and antibacterial capability of electrospun polyurethane nanofibers incorporating Calendula officinalis and Propolis extracts","2023","Journal of Biomaterials Science Polymer Edition","","10.1080/09205063.2023.2170138","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85147515779&origin=inward","Ya","11.33","0920-5063","34","11"
"22","33","J. Yuan","Anti-Biofilm Activities of Chinese Poplar Propolis Essential Oil against Streptococcus mutans","2022","Nutrients","","10.3390/nu14163290","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85136630929&origin=inward","Parsial","8.25","2072-6643","14","16"
"23","33","S.M. Sharaf","Deacetylated cellulose acetate nanofibrous dressing loaded with chitosan/propolis nanoparticles for the effective treatment of burn wounds","2021","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2021.11.034","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120171396&origin=inward","Parsial","6.60","0141-8130","193",""
"24","32","A. Salehi","Almond gum-sodium caseinate complexes for loading propolis extract: Characterization, antibacterial activity, release, and in-vitro cytotoxicity","2023","Food Chemistry","","10.1016/j.foodchem.2022.134801","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85141245631&origin=inward","Ya","10.67","0308-8146","405",""
"25","32","J. Shabbir","Effect of Chinese propolis as an intracanal medicament on post-operative endodontic pain: A double-blind randomized controlled trial","2020","International Journal of Environmental Research and Public Health","","10.3390/ijerph17020445","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077853469&origin=inward","Parsial","5.33","1661-7827","17","2"
"26","27","M. Sahlan","The cytotoxic and anti-inflammatory potential of Tetragonula sapiens propolis from Sulawesi on raw 264.7 cell lines","2021","Journal of King Saud University Science","","10.1016/j.jksus.2020.101314","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099262059&origin=inward","Ya","5.40","1018-3647","33","2"
"27","26","R. Sevinç-Özakar","Nanoemulsion-Based Hydrogels and Organogels Containing Propolis and Dexpanthenol: Preparation, Characterization, and Comparative Evaluation of Stability, Antimicrobial, and Cytotoxic Properties","2022","Gels","","10.3390/gels8090578","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85138671308&origin=inward","Ya","6.50","2310-2861","8","9"
"28","26","A. da Silva Barboza","Are propolis extracts potential pharmacological agents in human oral health? - A scoping review and technology prospecting","2021","Journal of Ethnopharmacology","","10.1016/j.jep.2021.113846","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100420868&origin=inward","Parsial","5.20","0378-8741","271",""
"29","25","M. Tang","Flavonoid extract from propolis alleviates periodontitis by boosting periodontium regeneration and inflammation resolution via regulating TLR4/MyD88/NF-κB and RANK/NF-κB pathway","2024","Journal of Ethnopharmacology","","10.1016/j.jep.2023.117324","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85174466977&origin=inward","Ya","12.50","0378-8741","319",""
"30","24","F. Majdi","Active packaging coating based on Lepidium sativum seed mucilage and propolis extract: Preparation, characterization, application and modeling the preservation of buffalo meat","2024","Plos One","","10.1371/journal.pone.0311802","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85206002319&origin=inward","Parsial","12.00","1932-6203","19","10"
"31","23","S. Javed","From propolis to nanopropolis: An exemplary journey and a paradigm shift of a resinous substance produced by bees","2022","Phytotherapy Research","","10.1002/ptr.7435","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125885965&origin=inward","Parsial","5.75","0951-418X","36","5"
"32","23","A.N. Tamfu","A new isoflavonol and other constituents from Cameroonian propolis and evaluation of their anti-inflammatory, antifungal and antioxidant potential","2020","Saudi Journal of Biological Sciences","","10.1016/j.sjbs.2019.11.035","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082797976&origin=inward","Ya","3.83","1319-562X","27","6"
"33","22","T.M. Valverde","Anti-Inflammatory, Antimicrobial, Antioxidant and Photoprotective Investigation of Red Propolis Extract as Sunscreen Formulation in Polawax Cream","2023","International Journal of Molecular Sciences","","10.3390/ijms24065112","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85151112745&origin=inward","Ya","7.33","1661-6596","24","6"
"34","22","V.T.K. Oanh","New dihydrochromene and xanthone derivatives from Lisotrigona furva propolis","2021","Fitoterapia","","10.1016/j.fitote.2020.104821","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099397137&origin=inward","Parsial","4.40","0367-326X","149",""
"35","22","N.P. Silva-Beltrán","Comparison of the biological potential and chemical composition of brazilian and mexican propolis","2021","Applied Sciences Switzerland","","10.3390/app112311417","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120754453&origin=inward","Ya","4.40","2076-3417","11","23"
"36","22","V.P. Ribeiro","Phytochemical, Antiplasmodial, Cytotoxic and Antimicrobial Evaluation of a Southeast Brazilian Brown Propolis Produced by Apis mellifera Bees","2021","Chemistry and Biodiversity","","10.1002/cbdv.202100288","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111332157&origin=inward","Ya","4.40","1612-1872","18","9"
"37","22","F. Asgharpour","Applying GC-MS analysis to identify chemical composition of Iranian propolis prepared with different solvent and evaluation of its biological activity","2020","Caspian Journal of Internal Medicine","","10.22088/cjim.11.2.191","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085702756&origin=inward","Ya","3.67","2008-6164","11","2"
"38","21","F. Jaberifard","A self-healing crosslinked-xanthan gum/soy protein based film containing halloysite nanotube and propolis with antibacterial and antioxidant activity for wound healing","2024","International Journal of Pharmaceutics","","10.1016/j.ijpharm.2024.124073","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189771718&origin=inward","Ya","10.50","0378-5173","656",""
"39","21","I.A. Justino","Brazilian red propolis extract free and encapsulated into polymeric nanoparticles against ovarian cancer: formulation, characterisation and biological assays in 2D and 3D models","2023","Journal of Pharmacy and Pharmacology","","10.1093/jpp/rgad030","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85161571859&origin=inward","Ya","7.00","0022-3573","75","6"
"40","21","J.F. Campos","Stingless Bee Propolis: New Insights for Anticancer Drugs","2021","Oxidative Medicine and Cellular Longevity","","10.1155/2021/2169017","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116719093&origin=inward","Parsial","4.20","1942-0900","2021",""
"41","20","M. Yazdanian","Chemical Characterization and Cytotoxic/Antibacterial Effects of Nine Iranian Propolis Extracts on Human Fibroblast Cells and Oral Bacteria","2022","Biomed Research International","","10.1155/2022/6574997","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128386301&origin=inward","Ya","5.00","2314-6133","2022",""
"42","20","B. Afra","Preparation, statistical optimization, in vitro characterization, and in vivo pharmacological evaluation of solid lipid nanoparticles encapsulating propolis flavonoids: a novel treatment for skin edema","2020","Drug Development and Industrial Pharmacy","","10.1080/03639045.2020.1779286","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087169906&origin=inward","Ya","3.33","0363-9045","46","7"
"43","20","I.H.C.D. Meneses","In Vivo Biocompatibility, Mechanical, and Antibacterial Properties of Cements Modified with Propolis in Different Concentrations","2020","European Journal of Dentistry","","10.1055/s-0040-1702255","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081929986&origin=inward","Ya","3.33","1305-7456","14","1"
"44","19","M. Franchin","Food-grade delivery systems of Brazilian propolis from Apis mellifera: From chemical composition to bioactivities in vivo","2024","Food Chemistry","","10.1016/j.foodchem.2023.137175","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171599789&origin=inward","Parsial","9.50","0308-8146","432",""
"45","19","E. Tahmasebi","Antimicrobial properties of green synthesized novel TiO2 nanoparticles using Iranian propolis extracts","2023","Journal of Basic Microbiology","","10.1002/jobm.202300221","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165136436&origin=inward","Ya","6.33","0233-111X","63","9"
"46","19","N. Ecem Bayram","Effects of processing methods and extraction solvents on the chemical content and bioactive properties of propolis","2020","Journal of Food Measurement and Characterization","","10.1007/s11694-019-00340-z","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076302949&origin=inward","Ya","3.17","2193-4126","14","2"
"47","19","G. Gajek","Antagonistic effects of CAPE (a component of propolis) on the cytotoxicity and genotoxicity of irinotecan and SN38 in human gastrointestinal cancer cells in vitro","2020","Molecules","","10.3390/molecules25030658","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079080504&origin=inward","Parsial","3.17","1420-3049","25","3"
"48","18","Z.M. Coskun","Cytotoxic and apoptotic effects of ethanolic propolis extract on C6 glioma cells","2020","Environmental Toxicology","","10.1002/tox.22911","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079700168&origin=inward","Parsial","3.00","1520-4081","35","7"
"49","16","R. Lesmana","Propolis as an autophagy modulator in relation to its roles in redox balance and inflammation regulation","2024","Biomedicine and Pharmacotherapy","","10.1016/j.biopha.2024.116745","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193215717&origin=inward","Parsial","8.00","0753-3322","175",""
"50","16","A. Vaseghi","Encapsulation of propolis extracted with methylal in the chitosan nanoparticles and its antibacterial and cell cytotoxicity studies","2024","BMC Complementary Medicine and Therapies","","10.1186/s12906-024-04472-8","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190816823&origin=inward","Ya","8.00","2662-7671","24","1"
"51","16","L.N. Remedio","Hydroxypropyl methylcellulose orally disintegration films produced by tape casting with the incorporation of green propolis ethanolic extract using the printing technique","2023","Food Hydrocolloids","","10.1016/j.foodhyd.2022.108176","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85139350074&origin=inward","Parsial","5.33","0268-005X","135",""
"52","16","R. Lesmana","The Suitability of Propolis as a Bioactive Component of Biomaterials","2022","Frontiers in Pharmacology","","10.3389/fphar.2022.930515","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133354403&origin=inward","Ya","4.00","1663-9812","13",""
"53","16","J.S. Son","Antibacterial activity of propolis‐embedded zeolite nanocomposites for implant application","2021","Materials","","10.3390/ma14051193","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102554614&origin=inward","Ya","3.20","1996-1944","14","5"
"54","15","N. Valivand","Propolis: a natural compound with potential as an adjuvant in cancer therapy - a review of signaling pathways","2024","Molecular Biology Reports","","10.1007/s11033-024-09807-9","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201833710&origin=inward","Parsial","7.50","0301-4851","51","1"
"55","15","M.P. Rubinho","A comprehensive characterization of polyphenols by LC-ESI–QTOF-MS from Melipona quadrifasciata anthidioides geopropolis and their antibacterial, antioxidant and antiproliferative effects","2020","Natural Product Research","","10.1080/14786419.2019.1607851","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066898112&origin=inward","Ya","2.50","1478-6419","34","21"
"56","14","N.F.d.O. Neto","Antibacterial activity of Brazilian red propolis and in vitro evaluation of free radical production","2022","Archives of Oral Biology","","10.1016/j.archoralbio.2022.105520","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85138572001&origin=inward","Ya","3.50","0003-9969","143",""
"57","14","V.A. Isidorov","Chemical Composition and Biological Activity of Argentinian Propolis of Four Species of Stingless Bees","2022","Molecules","","10.3390/molecules27227686","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142424759&origin=inward","Ya","3.50","1420-3049","27","22"
"58","13","B. Talib Al-Sudani","Antibacterial and wound healing performance of a novel electrospun nanofibers based on polymethyl-methacrylate/gelatin impregnated with different content of propolis","2024","Journal of Drug Delivery Science and Technology","","10.1016/j.jddst.2024.105641","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189803550&origin=inward","Ya","6.50","1773-2247","95",""
"59","13","E. Pelvan","Development of propolis and essential oils containing oral/throat spray formulation against SARS-CoV-2 infection","2022","Journal of Functional Foods","","10.1016/j.jff.2022.105225","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85136605453&origin=inward","Parsial","3.25","1756-4646","97",""
"60","13","R. Mohamadinooripoor","Novel elastomeric fibrous composites of poly-ε-caprolactone/propolis and their evaluation for biomedical applications","2022","Journal of Polymer Research","","10.1007/s10965-022-03165-5","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133719318&origin=inward","Parsial","3.25","1022-9760","29","8"
"61","13","J.M.d.S. Oliveira","Propolis in Oral Healthcare: Antibacterial Activity of a Composite Resin Enriched With Brazilian Red Propolis","2021","Frontiers in Pharmacology","","10.3389/fphar.2021.787633","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121218341&origin=inward","Ya","2.60","1663-9812","12",""
"62","13","K. Maroof","A Review on Chemical Compositions, Biological Activity and Formulation Techniques of Malaysian Honey Bee and Meliponine Propolis","2020","Journal of Biologically Active Products from Nature","","10.1080/22311866.2020.1856716","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85098632061&origin=inward","Ya","2.17","2231-1866","10","6"
"63","12","V.F. Pedrinha","Effects of natural antimicrobial compounds propolis and copaiba on periodontal ligament fibroblasts, molecular docking, and in vivo study in Galleria mellonella","2024","Biomedicine and Pharmacotherapy","","10.1016/j.biopha.2024.116139","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181946692&origin=inward","Ya","6.00","0753-3322","171",""
"64","12","A. Kurek-Górecka","The Phenolic Profile and Anti-Inflammatory Effect of Ethanolic Extract of Polish Propolis on Activated Human Gingival Fibroblasts-1 Cell Line","2023","Molecules","","10.3390/molecules28227477","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177740694&origin=inward","Ya","4.00","1420-3049","28","22"
"65","12","M. Peixoto","Mixing Propolis from Different Apiaries and Harvesting Years: Towards Propolis Standardization?","2022","Antibiotics","","10.3390/antibiotics11091181","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85138534573&origin=inward","Parsial","3.00","2079-6382","11","9"
"66","12","M. Klósek","The effect of ethanolic extract of Brazilian green propolis and artepillin C on aFGF-1, Eselectin, and CD40L secreted by human gingival fibroblasts","2021","Central European Journal of Immunology","","10.5114/ceji.2021.111215","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124313798&origin=inward","Parsial","2.40","1426-3912","46","4"
"67","12","R. Béji-Srairi","Ethanolic extract of Tunisian propolis: chemical composition, antioxidant, antimicrobial and antiproliferative properties","2020","Journal of Apicultural Research","","10.1080/00218839.2020.1732572","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081339909&origin=inward","Ya","2.00","0021-8839","59","5"
"68","11","S. Mouseli","Physicochemical and biological characterization of propolis-loaded composite polyamide-6/soybean protein nanofibers for wound healing applications","2024","Colloids and Surfaces A Physicochemical and Engineering Aspects","","10.1016/j.colsurfa.2024.134172","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192842116&origin=inward","Ya","5.50","0927-7757","694",""
"69","10","L.M.d.M.C. Ferreira","Characterization, Biocompatibility and Antioxidant Activity of Hydrogels Containing Propolis Extract as an Alternative Treatment in Wound Healing","2024","Pharmaceuticals","","10.3390/ph17050575","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194160649&origin=inward","Ya","5.00","1424-8247","17","5"
"70","10","Ö. Karaoğlu","Chewable tablet with herbal extracts and propolis arrests Wuhan and Omicron variants of SARS-CoV-2 virus","2023","Journal of Functional Foods","","10.1016/j.jff.2023.105544","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85153593588&origin=inward","Parsial","3.33","1756-4646","105",""
"71","10","K.S. De Freitas","Red propolis exhibits chemopreventive effect associated with antiproliferative and anti-inflammatory activities","2022","Toxicology Research","","10.1093/toxres/tfac049","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143975363&origin=inward","Ya","2.50","2045-452X","11","5"
"72","10","P.A. Millones-Gómez","Antibacterial, antibiofilm, and cytotoxic activities and chemical compositions of Peruvian propolis in an in vitro oral biofilm","2021","F1000research","","10.12688/f1000research.73602.2","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120175562&origin=inward","Ya","2.00","2046-1402","10",""
"73","9","A.A. Sartori","Effects of caatinga propolis from Mimosa tenuiflora and its constituents (santin, sakuranetin and kaempferide) on human immune cells","2024","Journal of Ethnopharmacology","","10.1016/j.jep.2023.117297","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85173737006&origin=inward","Parsial","4.50","0378-8741","319",""
"74","9","A.S. Abdelsattar","Green synthesis of silver and gold-doped zinc oxide nanocomposite with propolis extract for enhanced anticancer activity","2024","Scientific Reports","","10.1038/s41598-024-71758-9","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204289755&origin=inward","Ya","4.50","2045-2322","14","1"
"75","9","L.M.d.M.C. Ferreira","Preliminary Study on the Chemical and Biological Properties of Propolis Extract from Stingless Bees from the Northern Region of Brazil","2024","Processes","","10.3390/pr12040700","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191412683&origin=inward","Ya","4.50","2227-9717","12","4"
"76","9","A. Luque-Bracho","The benefits of propolis in periodontal therapy. A scoping review of preclinical and clinical studies","2023","Journal of Ethnopharmacology","","10.1016/j.jep.2022.115926","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143369847&origin=inward","Parsial","3.00","0378-8741","303",""
"77","9","D.T.L. Phuong","Antimicrobial, Cytotoxic, and α-Glucosidase Inhibitory Activities of Ethanol Extract and Chemical Constituents Isolated from Homotrigona apicalis Propolis—In Vitro and Molecular Docking Studies","2023","Life","","10.3390/life13081682","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85169023082&origin=inward","Ya","3.00","2075-1729","13","8"
"78","9","C.S. Machado","Seeking the Regional Identity of Brown Propolis Produced in Southern Brazil and Linked to Total Levels of Bioactive Compounds and Biological Activity","2021","ACS Food Science and Technology","","10.1021/acsfoodscitech.0c00052","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85127144166&origin=inward","Ya","1.80","2692-1944","1","2"
"79","8","C.D. Dumitru","Antimicrobial Composite Films Based on Alginate–Chitosan with Honey, Propolis, Royal Jelly and Green-Synthesized Silver Nanoparticles","2025","International Journal of Molecular Sciences","","10.3390/ijms26146809","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011861889&origin=inward","Ya","8.00","1661-6596","26","14"
"80","8","D. Svetikiene","The Comparative Study of the Antioxidant and Antibacterial Effects of Propolis Extracts in Veterinary Medicine","2024","Veterinary Sciences","","10.3390/vetsci11080375","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85202491271&origin=inward","Ya","4.00","2306-7381","11","8"
"81","8","Y. Seyyed Hajizadeh","The Effect of Cytotoxicity and Antimicrobial of Synthesized CuO NPs from Propolis on HEK-293 Cells and Lactobacillus acidophilus","2023","Evidence Based Complementary and Alternative Medicine","","10.1155/2023/1430839","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85148726660&origin=inward","Ya","2.67","1741-427X","2023",""
"82","8","S. Hochheim","Preparation and Investigation of Thermally Annealed Zein–Propolis Electrospun Nanofibers for Biomedical Applications","2023","Macromolecular Bioscience","","10.1002/mabi.202200524","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85150649375&origin=inward","Parsial","2.67","1616-5187","23","5"
"83","8","L. Chirila","Eco-friendly antibacterial and biocompatible coatings by applying cinnamon essential oil and propolis based emulsions on cotton textiles","2022","Journal of Natural Fibers","","10.1080/15440478.2022.2064397","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129257331&origin=inward","Ya","2.00","1544-0478","19","16"
"84","7","Y. Tumbarski","Phenolic Content, Antioxidant Activity and In Vitro Anti-Inflammatory and Antitumor Potential of Selected Bulgarian Propolis Samples","2025","Biomedicines","","10.3390/biomedicines13020334","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85218852674&origin=inward","Ya","7.00","2227-9059","13","2"
