"Rank","Cites","Authors","Title","Year","Source","Publisher","DOI","Type","Abstract","ArticleURL","Kesesuaian","CitesPerYear","ISSN","Volume","Issue"
"11","100","S. Kumari","Surface functionalization of chitosan as a coating material for orthopaedic applications: A comprehensive review","2021","Carbohydrate Polymers","","10.1016/j.carbpol.2020.117487","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097654376&origin=inward","Parsial","20.00","0144-8617","255",""
"12","96","S. Akshaya","Antibacterial Coatings for Titanium Implants: Recent Trends and Future Perspectives","2022","Antibiotics","","10.3390/antibiotics11121719","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85144693225&origin=inward","Ya","24.00","2079-6382","11","12"
"13","94","L. Li","Layered Double Hydroxides: Recent Progress and Promising Perspectives Toward Biomedical Applications","2024","Advanced Science","","10.1002/advs.202306035","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188118451&origin=inward","Parsial","47.00","2198-3844","11","20"
"14","93","B. Hu","Recent advances in chitosan-based layer-by-layer biomaterials and their biomedical applications","2021","Carbohydrate Polymers","","10.1016/j.carbpol.2021.118427","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85110336775&origin=inward","Ya","18.60","0144-8617","271",""
"15","93","L.R. Rivera","Antibacterial, pro-angiogenic and pro-osteointegrative zein-bioactive glass/copper based coatings for implantable stainless steel aimed at bone healing","2021","Bioactive Materials","","10.1016/j.bioactmat.2020.11.001","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096167930&origin=inward","Ya","18.60","2452-199X","6","5"
"16","93","X. Ma","Chitosan/polydopamine layer by layer self-assembled silk fibroin nanofibers for biomedical applications","2021","Carbohydrate Polymers","","10.1016/j.carbpol.2020.117058","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090700592&origin=inward","Parsial","18.60","0144-8617","251",""
"17","90","R. Yaseri","Surface modification of polycaprolactone nanofibers through hydrolysis and aminolysis: a comparative study on structural characteristics, mechanical properties, and cellular performance","2023","Scientific Reports","","10.1038/s41598-023-36563-w","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85161448773&origin=inward","Parsial","30.00","2045-2322","13","1"
"18","86","M. Parvizifard","Physical, mechanical and biological performance of PHB-Chitosan/MWCNTs nanocomposite coating deposited on bioglass based scaffold: Potential application in bone tissue engineering","2020","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2020.02.266","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080901010&origin=inward","Ya","14.33","0141-8130","152",""
"19","82","B. Zhang","Bio-surface coated titanium scaffolds with cancellous bone-like biomimetic structure for enhanced bone tissue regeneration","2020","Acta Biomaterialia","","10.1016/j.actbio.2020.07.024","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85088373698&origin=inward","Parsial","13.67","1742-7061","114",""
"20","75","Z. Geng","Nano-needle strontium-substituted apatite coating enhances osteoporotic osseointegration through promoting osteogenesis and inhibiting osteoclastogenesis","2021","Bioactive Materials","","10.1016/j.bioactmat.2020.09.024","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092131914&origin=inward","Parsial","15.00","2452-199X","6","4"
"21","75","Y. Guo","Enhanced corrosion resistance and biocompatibility of polydopamine/dicalcium phosphate dihydrate/collagen composite coating on magnesium alloy for orthopedic applications","2020","Journal of Alloys and Compounds","","10.1016/j.jallcom.2019.152782","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074416439&origin=inward","Parsial","12.50","0925-8388","817",""
"22","70","K.H. Cheon","Construction of tantalum/poly(ether imide) coatings on magnesium implants with both corrosion protection and osseointegration properties","2021","Bioactive Materials","","10.1016/j.bioactmat.2020.10.007","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094621308&origin=inward","Ya","14.00","2452-199X","6","4"
"23","70","H. Xing","Hierarchical assembly of nanostructured coating for siRNA-based dual therapy of bone regeneration and revascularization","2020","Biomaterials","","10.1016/j.biomaterials.2020.119784","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078505370&origin=inward","Ya","11.67","0142-9612","235",""
"24","69","M.S. Kang","Reduced graphene oxide coating enhances osteogenic differentiation of human mesenchymal stem cells on Ti surfaces","2021","Biomaterials Research","","10.1186/s40824-021-00205-x","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100955929&origin=inward","Parsial","13.80","2055-7124","25","1"
"25","60","M. Li","Tuning the surface potential to reprogram immune microenvironment for bone regeneration","2022","Biomaterials","","10.1016/j.biomaterials.2022.121408","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124690359&origin=inward","Parsial","15.00","0142-9612","282",""
"26","58","T. Zhou","Fabrication and Characterization of Collagen/PVA Dual-Layer Membranes for Periodontal Bone Regeneration","2021","Frontiers in Bioengineering and Biotechnology","","10.3389/fbioe.2021.630977","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108441500&origin=inward","Parsial","11.60","2296-4185","9",""
"27","58","P. Zhao","Surface modification of small intestine submucosa in tissue engineering","2020","Regenerative Biomaterials","","10.1093/RB/RBAA014","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092399383&origin=inward","Ya","9.67","2056-3418","7","4"
"28","57","A.M. Fathi","Taking Hydroxyapatite-Coated Titanium Implants Two Steps Forward: Surface Modification Using Graphene Mesolayers and a Hydroxyapatite-Reinforced Polymeric Scaffold","2021","ACS Biomaterials Science and Engineering","","10.1021/acsbiomaterials.0c01105","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099066044&origin=inward","Ya","11.40","2373-9878","7","1"
"29","54","M.A. Sahebalzamani","Advancing bone tissue engineering one layer at a time: a layer-by-layer assembly approach to 3D bone scaffold materials","2022","Biomaterials Science","","10.1039/d1bm01756j","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85129847757&origin=inward","Ya","13.50","2047-4830","10","11"
"30","53","C. Shuai","Surface modification enhances interfacial bonding in PLLA/MgO bone scaffold","2020","Materials Science and Engineering C","","10.1016/j.msec.2019.110486","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075450775&origin=inward","Ya","8.83","0928-4931","108",""
"31","50","M.M. Sabzehmeidani","Recent advances in surface-mounted metal–organic framework thin film coatings for biomaterials and medical applications: a review","2023","Biomaterials Research","","10.1186/s40824-023-00454-y","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85176251597&origin=inward","Ya","16.67","2055-7124","27","1"
"32","50","N. Nazeri","The effect of surface modification of poly-lactide-co-glycolide/carbon nanotube nanofibrous scaffolds by laminin protein on nerve tissue engineering","2021","Journal of Biomedical Materials Research Part A","","10.1002/jbm.a.37013","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087688359&origin=inward","Ya","10.00","1549-3296","109","2"
"33","50","F. Lopresti","Core-shell PLA/Kef hybrid scaffolds for skin tissue engineering applications prepared by direct kefiran coating on PLA electrospun fibers optimized via air-plasma treatment","2021","Materials Science and Engineering C","","10.1016/j.msec.2021.112248","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107976633&origin=inward","Ya","10.00","0928-4931","127",""
"34","48","N. Zhang","The effect of different coatings on bone response and degradation behavior of porous magnesium-strontium devices in segmental defect regeneration","2021","Bioactive Materials","","10.1016/j.bioactmat.2020.11.026","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097199473&origin=inward","Ya","9.60","2452-199X","6","6"
"35","46","S.O. Olunusi","Revolutionizing tropical fruits preservation: Emerging edible coating technologies","2024","International Journal of Biological Macromolecules","","10.1016/j.ijbiomac.2024.130682","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188230318&origin=inward","Parsial","23.00","0141-8130","264",""
"36","45","H.Y. Liang","Polycaprolactone in Bone Tissue Engineering: A Comprehensive Review of Innovations in Scaffold Fabrication and Surface Modifications","2024","Journal of Functional Biomaterials","","10.3390/jfb15090243","Review","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205228924&origin=inward","Ya","22.50","2079-4983","15","9"
"37","45","B. Tan","Biomimetic hydroxyapatite coating on the 3D-printed bioactive porous composite ceramic scaffolds promoted osteogenic differentiation via PI3K/AKT/mTOR signaling pathways and facilitated bone regeneration in vivo","2023","Journal of Materials Science and Technology","","10.1016/j.jmst.2022.07.016","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85136578218&origin=inward","Ya","15.00","1005-0302","136",""
"38","45","M. Wu","Bioinspired Redwood-Like Scaffolds Coordinated by In Situ-Generated Silica-Containing Hybrid Nanocoatings Promote Angiogenesis and Osteogenesis both In Vitro and In Vivo","2021","Advanced Healthcare Materials","","10.1002/adhm.202101591","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115666720&origin=inward","Ya","9.00","2192-2640","10","23"
"39","44","Y. Luo","Surface modification of 3d printed pla/halloysite composite scaffolds with antibacterial and osteogenic capabilities","2020","Applied Sciences Switzerland","","10.3390/app10113971","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086929607&origin=inward","Ya","7.33","2076-3417","10","11"
"40","43","Y. Dai","Promoting osteoblasts responses in vitro and improving osteointegration in vivo through bioactive coating of nanosilicon nitride on polyetheretherketone","2020","Journal of Orthopaedic Translation","","10.1016/j.jot.2019.10.011","Article","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079761098&origin=inward","Parsial","7.17","2214-031X","24",""
"41","0","Althaf Umar Kottaraparambil, Kaladhar Kamalasanan, Sreejith Thrivikraman, Praveen Varma, Harika Sapa, Shona Sara Shaji, Sherin Ann Mathew, Ayana Kannaghut Puthukudi","Biomimetic Molecular Tweezing at Biointerfaces: A Surface-Driven Strategy to Disrupt Globular Protein Binding While Aligning ECM for Controlled Cellular Activity","2026","Biopolymers","","10.1002/bip.70075","Journal Article","Selective protein adsorption on biomaterial surfaces is pivotal for regulating cell behavior and tissue organization in regenerative medicine. However, conventional 2D culture platforms fail to replicate the aligned architecture characteristic of vascular tissues. This study investigates whether a poly (vinyl alcohol)-stearate (PVA-stearate) surface coating can differentially modulate protein adsorption to direct extracellular matrix (ECM) assembly and cell alignment. The PVA-stearate conjugate was synthesized via esterification and extensively characterized by XRD, DSC, TGA, FTIR, AFM, and XPS, confirming successful chemical integration and a uniform nanoscale topography with moderate roughness compared to uncoated controls. Protein interaction analyses (MALDI-TOF and BCA assays) revealed selective suppression of non-specific globular protein adsorption (albumin, insulin) while facilitating collagen fibrillar assembly. Fibroblast (L929) cultures on the modified surfaces exhibited delayed initial adhesion followed by progressive elongation, unidirectional alignment, and coordinated cytoskeletal organization within 48 h, whereas unmodified substrates supported random orientation and disordered ECM deposition. These findings demonstrate that the PVA-stearate coating functions as a bioinstructive interface, enabling protein-specific modulation and guiding biomimetic cell-ECM interactions. This scalable and fully synthetic approach offers promising applications in vascular tissue engineering, antifibrotic surface design, and regenerative medicine platforms requiring controlled cellular organization.","","Parsial","0.00","1097-0282","117","1"
"42","0","Chen Yang, Chenle Dong, Lefeng Su, Zhiqiang Liu, Lingyi Hu, Qishu Jin, Hao Chen, Chunlong Zhang, Yihao Wu, Jiang Chang, Zhaowenbin Zhang, Jiandong Yuan","A Universal Metal-Flavonoid Coating Strategy: Engineering Biomaterials for Diabetic Bone Regeneration","2026","Advanced science (Weinheim, Baden-Wurttemberg, Germany)","","10.1002/advs.202522509","Journal Article","Under metabolic disorders such as diabetes, the regenerative capacity of bone tissue is compromised, characterized by hyperglycemia-induced oxidative stress, impaired osteogenesis, and dysregulated angiogenesis. These complications undermine the efficacy of conventional bone repair materials, limiting their capacity to promote effective healing. Herein, we developed a metal-flavonoid functionalized coating strategy that integrates osteogenic and angiogenic metal ions with natural antioxidant flavonoids. Leveraging their chelation ability and strong surface affinity, a one-pot approach is established to endow conventional bone repair materials with tailored biofunctions that modulate the diabetic bone microenvironment and facilitate regeneration. Among the tested candidates, copper-quercetin (CQ) coating is screened as the optimal formulation owing to its potent antioxidative, osteoinductive, and pro-angiogenic properties under high-glucose (HG) conditions. Conventional bone repair materials (e.g., β-tricalcium phosphate, β-TCP) modified with this coating significantly ameliorated oxidative stress, restored osteogenesis, and rescued angiogenesis impaired by persistent hyperglycemia. In diabetic rats, CQ-coated β-TCP (β-TCP@CQ) accelerated bone healing by 1.68-fold compared to unmodified controls. Mechanistically, the CQ coating activated the ATP7A/SOD3/FLT1 axis to restore copper homeostasis in bone marrow mesenchymal stem cells while stimulating the PI3K-Akt pathway to enhance osteogenic differentiation. Moreover, the coating exhibited broad versatility across multiple biomaterial compositions (metals, ceramics, polymers, and composites) and structures (2D discs, 3D scaffolds). This metal-flavonoid coating strategy demonstrated feasibility and scalability, while also providing a mechanistic foundation and technical platform for the effective use of conventional bone repair materials in complex pathological contexts.","","Ya","0.00","2198-3844","",""
"43","0","Stanislas Von Euw, Kian F Eichholz, Olwyn R Mahon, Tristan Georges, Aisling Teahan, Jérôme Charliac, Marion Merle, Camille Chareyron, Guillaume Laurent, Thierry Azaïs, Nadine Nassif, Daniel J Kelly","The hydrophilic amorphous layer around bone apatite promotes osteogenesis","2026","Acta biomaterialia","","10.1016/j.actbio.2025.12.004","Journal Article","Biomaterial-based therapies for bone regeneration have long relied on synthetic calcium phosphate particles to improve their overall performance. However, these particles often lack the compositional and structural complexity of their biogenic counterparts and fail to capture the intrinsic heterogeneity of bone mineral across spatial and temporal scales. Here, a series of organic-inorganic composites containing well-defined proxies for biogenic calcium phosphate particles at successive stages of bone biomineralization reveals that osteogenic differentiation of human mesenchymal stem cells increases significantly for partially crystalline hydroxyapatite nanoparticles coated with a hydrophilic amorphous surface layer whose proportion reaches at least 35 %. This coating occurs naturally on bone hydroxyapatite nanoparticles, with a proportion that decreases as the particles age, and may contribute to the unparalleled clinical success of autologous bone grafts. Mechanistically, a hydration shell of tightly bound water molecules on the amorphous layer is proposed to enhance binding of extracellular signaling molecules at the cell-material interface, amplifying osteogenic commitment. These findings provide a mechanistic basis for previous observations that biomimetic hydroxyapatite particles outperform their highly crystalline counterparts, underscore the critical importance of truly bone-mimetic material designs for next-generation bone-regenerative therapies, and offer an unprecedented view of how biophysical surface cues direct stem-cell function. STATEMENT OF SIGNIFICANCE: Amorphous chemical environments naturally occur around the particles of a variety of biominerals, yet they have mainly been associated with physicochemical processes such as ion exchange, crystal growth, and particle assembly. Focusing on bone bioapatite, a calcium phosphate biomineral of major clinical relevance, we show that these amorphous environments also have biological functions. Using a unique series of well-characterized proxies for biogenic calcium phosphate particles at different stages of bone biomineralization, we reveal the critical role of these amorphous chemical environments in regulating osteogenic differentiation of human mesenchymal stem cells. These results emphasize the importance of truly biomimetic designs for developing transformative biomaterials for bone repair and provide mechanistic insight into how nanoscale surface features influence stem cell behavior.","","Parsial","0.00","1878-7568","210",""
"44","0","Yakui Liu, Max von Witzleben, Sarah Duin, Anne Bernhardt, Michael Gelinsky","Topology-optimized melt-electrowritten PCL patch for abdominal wall reconstruction","2026","Bioactive materials","","10.1016/j.bioactmat.2025.09.026","Journal Article","Abdominal wall patches are clinically essential for treating abdominal defects or hernias, with mechanical strength representing a critical requirement. Therefore, rational scaffold design and fabrication methods are crucial for achieving optimal performance. This study introduces an innovative approach to the design of scaffolds for abdominal wall repair, using topology optimization and melt electrowriting (MEW). Through topology optimization, we provided a systematic, data-driven basis for scaffold design. We further refined the scaffold structure to enhance print efficiency and continuity, and successfully implemented MEW as fabrication technology, marking its first application in abdominal repair. Mechanical testing revealed that the topology-optimized scaffold achieved abdominal tensile strength of 1.85 ± 0.02 N/cm, 39 % superior to conventional designs. Subsequent biological assessments - including fibroblast proliferation and alignment analyses - showed that collagen coating significantly enhanced cell attachment and proliferation, especially in multi-layer (300 layers) scaffolds, maintaining diameters of 11.34 ± 0.67 μm throughout the depth. Finally, ex vivo porcine abdominal wall tests confirmed clinical mechanical suitability. This work offers a promising direction for future advancements in tissue engineering, particularly in optimizing scaffold structures for biological and mechanical performance.","","Parsial","0.00","2452-199X","55",""
"45","0","Shuxiang Zhang, Chuchu Tang, Ningyue Deng, Xiangyu Dong, Jiacheng Lei, Zhiqin Chu, Qiang Wei","Fabrication of stacked polymer cluster coatings via an evaporation-assisted grafting strategy for inducing endothelial cell network formation","2026","Acta biomaterialia","","10.1016/j.actbio.2025.11.056","Journal Article","The clustered polymer structures formed by grafting polymer brushes greatly enhance biomaterial surface properties. However, their nanoscale thickness and gaps caused by steric hindrance between clusters often lead to instability, limiting their applications. This study exploits the self-assembly of benzophenone-functionalized polymers into clusters in non-aqueous solvents, which are subsequently ""frozen"" and anchored to the surface through an evaporation-assisted grafting strategy to form stable, stacked polymer cluster coatings. This process is related to the rate of solvent removal and the proportion of benzophenone in the copolymer. This unique structure yields antifouling coatings with superior, sustained resistance to contaminants due to its closely stacked clusters. Moreover, this method can be extended to the preparation of stacked heparin-mimetic polymer cluster coatings that exhibit native binding of endothelial cell growth factors, inducing endothelial network formation, a capability not achievable with traditional methods. In vivo, the coating reduced inflammatory encapsulation and facilitated rapid endothelial organization and vessel-like remodeling at the implant-tissue interface. This strategy highlights the pivotal role of interfacial architectures and molecular interactions in guiding cellular behaviour, providing a distinct perspective on the development of high-performance coatings. STATEMENT OF SIGNIFICANCE: Our study introduces an evaporation-assisted grafting strategy to fabricate stacked polymer cluster coatings, overcoming the instability of traditional polymer brushes. These coatings demonstrate exceptional antifouling performance and support the versatile integration of functional components. Notably, the resulting stacked heparin-mimetic polymer coatings effectively induce endothelial network formation, rivalling commercial Matrigel-based assays. By harnessing precisely engineered interfacial structures and molecular interactions, this scalable, low-cost approach offers a solution for biomaterial surface design in tissue engineering applications.","","Ya","0.00","1878-7568","210",""
"46","0","Dina Gadalla, Maeve M Kennedy, Jamie E Ganem, Sriya Yeleswarapu, Amanda M Richards, Rachel M Wells, David G Lott","Combining Surface Modification and Bioactive Cues to Enhance Medpor® Implant Integration In Vivo","2026","Tissue engineering and regenerative medicine","","10.1007/s13770-025-00783-0","Journal Article","Achieving stable and functional integration of synthetic implants with host tissue remains a key challenge in tissue engineering. Medpor®, a porous high-density polyethylene (HDPE) implant widely used in craniofacial reconstruction, provides excellent mechanical strength but lacks bioactivity, limiting early cell adhesion, vascularization, and extracellular matrix (ECM) deposition. To enhance Medpor® biointegration, we employed a multi-faceted modification strategy combining plasma treatment with biologically active components. Treated implants were coated with collagen and fibrin hydrogels and further supplemented with a platelet-derived Purified Exosome Product (PEP). Modified and control implants were evaluated in a subcutaneous mouse model to assess host tissue response, vascularization, and implant integration. Tissue ingrowth was observed in the pores of all Medpor® implants. Plasma treatment significantly increased the surface hydrophilicity of Medpor®, promoting host cell adhesion and tissue infiltration. Implants modified with both hydrogels and PEP exhibited enhanced ECM deposition, greater vascular density, and improved tissue integration compared to untreated Medpor®. The combination of physicochemical surface treatment and biochemical cues led to a synergistic effect, supporting tissue ingrowth and angiogenesis under a controlled host immune response. This study demonstrates that integrating plasma surface modification with bioactive hydrogels and PEP can effectively enhance the biointegration of Medpor® implants in vivo. The combined approach significantly enhances implant vascularization and ECM development, offering a promising translational strategy for improving synthetic implant performance in regenerative and reconstructive biomaterial applications.","","Ya","0.00","2212-5469","",""
"47","0","Ryoma Takagi, Tadashi Nakaji-Hirabayashi, Moe Kato, Miwako Shobo, Chiaki Yoshikawa","Durable and biofunctional polydimethylsiloxane surfaces engineered with photocrosslinkable terpolymers for aligned and functional myotube formation","2026","Biomaterials and biosystems","","10.1016/j.bbiosy.2025.100126","Journal Article","Polydimethylsiloxane (PDMS) is widely used in biomicrodevices owing to its excellent processability, flexibility, and optical properties. However, the poor cell adhesiveness of PDMS limits its application as a stable substrate for long-term cell cultures. To address these challenges, we synthesized a photocrosslinkable terpolymer composed of N-(2-hydroxypropyl)acrylamide, N-benzophenone acrylamide, and N-succinimidyl acrylate (NSA), and covalently grafted it onto PDMS surfaces using UV irradiation. The ternary polymer coatings exhibited long-term stability in aqueous media and suppressed thenonspecific adsorption of proteins and cell adhesion. Furthermore, the immobilization of collagen on the side groups of NSA provides selective cell-adhesive functionality. In particular, PDMS surfaces modified with a ternary polymer containing 10 mol% NSA supported the robust and sustained adhesion of C2C12 myoblasts. When combined with stripe-patterned microstructures, these surfaces promoted unidirectional alignment, efficient myotube formation, and strong expression of dystrophin, with the 25 μm-pitch pattern demonstrating the most pronounced effects. Notably, spontaneous contraction of the formed myotubes confirmed advanced functional differentiation. These results demonstrate that the proposed facile and durable surface modification strategy for PDMS imparts both anti-biofouling properties and selective biofunctionality. The PDMS modification strategy provides a versatile platform for engineering functional muscle fibers and expanding the potential of PDMS-based bio-microdevices and tissue-engineered constructs.","","Parsial","0.00","2666-5344","21",""
"48","0","Mohammad Salmani Mobarakeh, Monireh Kouhi, Legha Ansari, Sayedeh Boshra Sadat, Saman Savabi, Farahnaz Nejatidanesh, Rahmatollah Emadi","κ-Carrageenan Scaffolds Incorporating Hydroxyapatite-Coated Chitosan Nanoparticles for Bone Tissue Engineering and Controlled Rosuvastatin Release","2026","Macromolecular bioscience","","10.1002/mabi.202500428","Journal Article","Current treatments for critical-sized bone defects are often ineffective, necessitating advanced biomaterial scaffolds that can address this limitation. A key challenge in developing these scaffolds is achieving sustained, localized delivery of osteoinductive drugs, which is crucial for enhancing bone tissue regeneration within the defect site. This research engineered a novel κ-carrageenan-based composite scaffold incorporating hydroxyapatite-coated chitosan nanoparticles for regulated rosuvastatin release. Chitosan nanoparticles containing rosuvastatin were synthesized using a water-in-oil emulsion method and subsequently coated with hydroxyapatite. κ-carrageenan-based scaffolds were then fabricated with varying concentrations of nanoparticles (0%, 10%, 20%, and 30%) and evaluated for their physical and mechanical properties. They were also assessed for biocompatibility, osteogenic differentiation potential, and hemocompatibility. Notably, the hydroxyapatite coating increased the size of nanoparticles and enabled a stable, long-term release of rosuvastatin. Moreover, incorporating these nanoparticles into scaffolds further enhanced the sustained release profile appropriate for long-term bone healing. Scaffolds containing 20% nanoparticles demonstrated the highest mechanical strength and were selected for cell adhesion, proliferation, and differentiation studies. Alkaline phosphatase activity and alizarin red staining confirmed the scaffolds' ability to promote osteogenic differentiation. Hemocompatibility assessment revealed a low hemolysis percentage (< 5%) for the carrageenan-based scaffolds, indicating good blood compatibility. Overall, the developed composite scaffold exhibits promising biocompatibility and efficacy for the controlled delivery of rosuvastatin and the repair of bone defects.","","Parsial","0.00","1616-5195","26","1"
"49","0","Xuezhong Cui, Jing Li, Yuemin Wang, Tong Sun, Jie Weng, Zhiqiang Li, Jianshu Li, Xingyu Chen","Choline Phosphate Surface-Activated 3D-Printed Porous Titanium Scaffold Combined with Stem Cell Exosomes for Enhancing Bone Defects Repair","2025","ACS applied materials & interfaces","","10.1021/acsami.5c00953","Journal Article","In recent decades, porous titanium (Ti) bone-engineered scaffolds have emerged as a promising biomaterial for bone defect repair due to their excellent biocompatibility and mechanical properties. However, the limited bioactivity on the surface of the porous scaffold hinders osteogenesis and osseointegration, thereby restricting its further application. In this study, we utilized surface-initiated atom transfer radical polymerization to prepare a zwitterionic poly[2-(methacryloyloxy)ethyl choline phosphate] (PMCP) modified bioactive coating on the surface of a 3D-printed porous Ti scaffold. Additionally, exosomes derived from bone mesenchymal stem cells (BMSCs) were introduced into the scaffold surface via specific interactions between choline phosphate and phosphatidylcholine (CP-PC) on exosomes. In vitro studies for ossification and transcriptome analysis have shown that the exosome bioactive coating on a Ti scaffold enhances the proliferation of BMSCs, their osteogenic activity, and the expression of osteogenic-related genes. Furthermore, in vivo study results from hard tissue sectioning and microcomputed tomography indicate that the bioactive Ti scaffold significantly promotes new bone formation after 4 and 12 weeks of implantation in rabbit femoral defects. Overall, this study showcases the potential of the exosome-based Ti scaffold to enhance osteogenic activity, offering a novel strategy for cell-free bone tissue regeneration with significant therapeutic implications.","","Parsial","0.00","1944-8252","17","19"
